Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),,Snowday?
2012,5,5,†,17.7,,5,,11.4,,6.6,,0,,0,,0,,0,,0,,FALSE
2012,5,6,†,20,,4.4,,12.2,,5.8,,0,,0,,0,,0,,0,,FALSE
2012,5,7,†,22.3,,4.2,,13.3,,4.7,,0,,11.5,,0,,11.5,,0,,FALSE
2012,5,8,†,16.4,,9.8,,13.1,,4.9,,0,,6.4,,0,,6.4,,0,,FALSE
2012,5,9,†,20.1,,12.9,,16.5,,1.5,,0,,20.2,,0,,20.2,,0,,FALSE
2012,5,10,†,10.7,,6.1,,8.4,,9.6,,0,,0.5,,0,,0.5,,0,,FALSE
2012,5,11,†,19.3,,6.4,,12.9,,5.1,,0,,0,,0,,0,,0,,FALSE
2012,5,12,†,26.1,,4.1,,15.1,,2.9,,0,,3.2,,0,,3.2,,0,,FALSE
2012,5,13,†,21.7,,13.5,,17.6,,0.4,,0,,0,,0,,0,,0,,FALSE
2012,5,14,†,24.5,,8.2,,16.4,,1.6,,0,,0,,0,,0,,0,,FALSE
2012,5,15,†,24,,11.9,,18,,0,,0,,0,,0,,0,,0,,FALSE
2012,5,16,†,20.3,,11.2,,15.8,,2.2,,0,,1,,0,,1,,0,,FALSE
2012,5,17,†,17.1,,5.5,,11.3,,6.7,,0,,0,,0,,0,,0,,FALSE
2012,5,18,†,22.2,,3.9,,13.1,,4.9,,0,,0,,0,,0,,0,,FALSE
2012,5,19,†,28.3,,11.9,,20.1,,0,,2.1,,0,,0,,0,,0,,FALSE
2012,5,20,†,31.8,,11.4,,21.6,,0,,3.6,,0,,0,,0,,0,,FALSE
2012,5,21,†,29.1,,17.4,,23.3,,0,,5.3,,3.1,,0,,3.1,,0,,FALSE
2012,5,22,†,22.6,,17.9,,20.3,,0,,2.3,,9,,0,,9,,0,,FALSE
2012,5,23,†,23.5,,13.5,,18.5,,0,,0.5,,0,,0,,0,,0,,FALSE
2012,5,24,†,28.3,,14.1,,21.2,,0,,3.2,,0,,0,,0,,0,,FALSE
2012,5,25,†,28.5,,19,,23.8,,0,,5.8,,6.9,,0,,6.9,,0,,FALSE
2012,5,26,†,24.9,,15,,20,,0,,2,,0,,0,,0,,0,,FALSE
2012,5,27,†,22.5,,11.2,,16.9,,1.1,,0,,0,,0,,0,,0,,FALSE
2012,5,28,†,23.2,,14.7,,19,,0,,1,,0.5,,0,,0.5,,0,,FALSE
2012,5,29,†,30,,11.7,,20.9,,0,,2.9,,12,,0,,12,,0,,FALSE
2012,5,30,†,23,,12.8,,17.9,,0.1,,0,,0,,0,,0,,0,,FALSE
2012,5,31,†,17.9,,10.3,,14.1,,3.9,,0,,0,,0,,0,,0,,FALSE
2012,6,1,†,16.9,,7.9,,12.4,,5.6,,0,,18.8,,0,,18.8,,0,,FALSE
2012,6,2,†,17.9,,11.5,,14.7,,3.3,,0,,1.6,,0,,1.6,,0,,FALSE
2012,6,3,†,16.4,,9.9,,13.2,,4.8,,0,,5.1,,0,,5.1,,0,,FALSE
2012,6,4,†,16.9,,11.2,,14.1,,3.9,,0,,0,,0,,0,,0,,FALSE
2012,6,5,†,22.9,,11,,17,,1,,0,,4,,0,,4,,0,,FALSE
2012,6,6,†,23,,11,,17,,1,,0,,13.5,,0,,13.5,,0,,FALSE
2012,6,7,†,25.4,,11.8,,18.6,,0,,0.6,,2.8,,0,,2.8,,0,,FALSE
2012,6,8,†,24.5,,13,,18.8,,0,,0.8,,0.5,,0,,0.5,,0,,FALSE
2012,6,9,†,24.2,,10.7,,17.5,,0.5,,0,,0,,0,,0,,0,,FALSE
2012,6,10,†,27.4,,15.1,,21.3,,0,,3.3,,0,,0,,0,,0,,FALSE
2012,6,11,†,31.5,,17.2,,24.4,,0,,6.4,,0,T,0,,0,T,0,,FALSE
2012,6,12,†,21.5,,18.8,,20.2,,0,,2.2,,4.4,,0,,4.4,,0,,FALSE
2012,6,13,†,21.2,,12.7,,17,,1,,0,,0,,0,,0,,0,,FALSE
2012,6,14,†,23.5,,10,,16.8,,1.2,,0,,0,,0,,0,,0,,FALSE
2012,6,15,†,25.4,,12,,18.7,,0,,0.7,,0,,0,,0,,0,,FALSE
2012,6,16,†,27.3,,14.3,,20.8,,0,,2.8,,0,,0,,0,,0,,FALSE
2012,6,17,†,28.6,,15.4,,22,,0,,4,,0,,0,,0,,0,,FALSE
2012,6,18,†,26.2,,19,,22.6,,0,,4.6,,7.6,,0,,7.6,,0,,FALSE
2012,6,19,†,28.4,,17.4,,22.9,,0,,4.9,,0,,0,,0,,0,,FALSE
2012,6,20,†,34.1,,20.4,,27.3,,0,,9.3,,0,,0,,0,,0,,FALSE
2012,6,21,†,34.2,,23.1,,28.7,,0,,10.7,,0,,0,,0,,0,,FALSE
2012,6,22,†,27.3,,20.3,,23.8,,0,,5.8,,0,,0,,0,,0,,FALSE
2012,6,23,†,26.5,,18.4,,22.5,,0,,4.5,,0,,0,,0,,0,,FALSE
2012,6,24,†,27.3,,12.8,,20.1,,0,,2.1,,5.2,,0,,5.2,,0,,FALSE
2012,6,25,†,16.2,,12.3,,14.3,,3.7,,0,,5.2,,0,,5.2,,0,,FALSE
2012,6,26,†,22.3,,12.1,,17.2,,0.8,,0,,0,,0,,0,,0,,FALSE
2012,6,27,†,26.1,,14.4,,20.3,,0,,2.3,,0,,0,,0,,0,,FALSE
2012,6,28,†,30.3,,10.5,,20.4,,0,,2.4,,0.2,,0,,0.2,,0,,FALSE
2012,6,29,†,31.7,,20,,25.9,,0,,7.9,,0,,0,,0,,0,,FALSE
2012,6,30,†,31.4,,16.8,,24.1,,0,,6.1,,0,,0,,0,,0,,FALSE
2012,7,1,†,26.8,,18.6,,22.7,,0,,4.7,,0,,0,,0,,0,,FALSE
2012,7,2,†,29.3,,15.7,,22.5,,0,,4.5,,0,,0,,0,,0,,FALSE
2012,7,3,†,30.3,,13.2,,21.8,,0,,3.8,,1,,0,,1,,0,,FALSE
2012,7,4,†,32.8,,17.8,,25.3,,0,,7.3,,0,,0,,0,,0,,FALSE
2012,7,5,†,29.1,,16.5,,22.8,,0,,4.8,,0,,0,,0,,0,,FALSE
2012,7,6,†,33.6,,17.3,,25.5,,0,,7.5,,0,,0,,0,,0,,FALSE
2012,7,7,†,30.7,,22,,26.4,,0,,8.4,,0,,0,,0,,0,,FALSE
2012,7,8,†,25.3,,17.8,,21.6,,0,,3.6,,0,,0,,0,,0,,FALSE
2012,7,9,†,26,,12.6,,19.3,,0,,1.3,,0,,0,,0,,0,,FALSE
2012,7,10,†,30.4,,10.9,,20.7,,0,,2.7,,0,,0,,0,,0,,FALSE
2012,7,11,†,30.3,,10.6,,20.5,,0,,2.5,,0,,0,,0,,0,,FALSE
2012,7,12,†,33.2,,16.8,,25,,0,,7,,0,,0,,0,,0,,FALSE
2012,7,13,†,34.5,,18.1,,26.3,,0,,8.3,,0,,0,,0,,0,,FALSE
2012,7,14,†,35,,19.2,,27.1,,0,,9.1,,0,,0,,0,,0,,FALSE
2012,7,15,†,31.3,,19.7,,25.5,,0,,7.5,,0.2,,0,,0.2,,0,,FALSE
2012,7,16,†,32.1,,20.9,,26.5,,0,,8.5,,0.5,,0,,0.5,,0,,FALSE
2012,7,17,†,33.6,,21.9,,27.8,,0,,9.8,,0,T,0,,0,T,0,,FALSE
2012,7,18,†,26.9,,18.3,,22.6,,0,,4.6,,0,,0,,0,,0,,FALSE
2012,7,19,†,24.5,,12,,18.3,,0,,0.3,,0,,0,,0,,0,,FALSE
2012,7,20,†,26.7,,12.5,,19.6,,0,,1.6,,0,,0,,0,,0,,FALSE
2012,7,21,†,29.7,,10.1,,19.9,,0,,1.9,,0,,0,,0,,0,,FALSE
2012,7,22,†,32.2,,17.6,,24.9,,0,,6.9,,0,,0,,0,,0,,FALSE
2012,7,23,†,33.3,,19.5,,26.4,,0,,8.4,,11,,0,,11,,0,,FALSE
2012,7,24,†,25.1,,19.1,,22.1,,0,,4.1,,0,,0,,0,,0,,FALSE
2012,7,25,†,27.5,,14.9,,21.2,,0,,3.2,,0,,0,,0,,0,,FALSE
2012,7,26,†,21.3,,17.8,,19.6,,0,,1.6,,0,,0,,0,,0,,FALSE
2012,7,27,†,28.2,,17.2,,22.7,,0,,4.7,,0,,0,,0,,0,,FALSE
