Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-75.72,45.38,OTTAWA CDA,6105976,2012-01-01,2012,1,1,†,5.1,,-4,,0.6,,17.4,,0,,1,,0,,1,,12,,,,,
-75.72,45.38,OTTAWA CDA,6105976,2012-01-02,2012,1,2,†,1,,-5,,-2,,20,,0,,0,,0,,0,,9,,,,,
-75.72,45.38,OTTAWA CDA,6105976,2012-01-03,2012,1,3,†,-16.7,,-19.6,,-18.2,,36.2,,0,,0,,0,,0,,8,,,,,
-75.72,45.38,OTTAWA CDA,6105976,2012-01-04,2012,1,4,†,-6,,-23.3,,-14.7,,32.7,,0,,0,,4,,1.3,,8,,,,,
-75.72,45.38,OTTAWA CDA,6105976,2012-01-05,2012,1,5,†,-3.4,,-12.9,,-8.2,,26.2,,0,,0,,4,,3,,12,,,,,
-75.72,45.38,OTTAWA CDA,6105976,2012-01-06,2012,1,6,†,-6.5,,-13.6,,-10.1,,28.1,,0,,0,,0,,0,,12,,,,,
-75.72,45.38,OTTAWA CDA,6105976,2012-01-07,2012,1,7,†,1,,-10.5,,-4.8,,22.8,,0,,0.8,,0,,0.8,,10,,,,,
-75.72,45.38,OTTAWA CDA,6105976,2012-01-08,2012,1,8,†,-7.7,,-10.1,,-8.9,,26.9,,0,,0,,0.8,,0.3,,10,,,,,
-75.72,45.38,OTTAWA CDA,6105976,2012-01-09,2012,1,9,†,3.1,,-10.5,,-3.7,,21.7,,0,,0.6,,0,T,0.6,,11,,,,,
-75.72,45.38,OTTAWA CDA,6105976,2012-01-10,2012,1,10,†,1.8,,-2.8,,-0.5,,18.5,,0,,0,,0,,0,,10,,,,,
-75.72,45.38,OTTAWA CDA,6105976,2012-01-11,2012,1,11,†,-5.9,,-13,,-9.5,,27.5,,0,,0.2,,0.3,,0.5,,10,,,,,
