"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-75.72","45.38","OTTAWA CDA","6105976","2019-01-01","2019","01","01","†","0.5","","-5.0","","-2.3","","20.3","","0.0","","0.0","","0.0","","0.0","","5","","","","",""
"-75.72","45.38","OTTAWA CDA","6105976","2019-01-02","2019","01","02","†","-10.0","","-19.0","","-14.5","","32.5","","0.0","","0.0","","4.0","","2.4","","5","","","","",""
"-75.72","45.38","OTTAWA CDA","6105976","2019-01-03","2019","01","03","†","1.5","","-13.5","","-6.0","","24.0","","0.0","","0.0","","4.0","","2.8","","7","","","","",""
"-75.72","45.38","OTTAWA CDA","6105976","2019-01-04","2019","01","04","†","2.5","","-7.0","","-2.3","","20.3","","0.0","","0.0","","0.0","","0.0","","10","","","","",""
"-75.72","45.38","OTTAWA CDA","6105976","2019-01-05","2019","01","05","†","3.5","","-3.0","","0.3","","17.7","","0.0","","0.0","","0.0","","0.0","","9","","","","",""
"-75.72","45.38","OTTAWA CDA","6105976","2019-01-06","2019","01","06","†","-1.5","","-6.0","","-3.8","","21.8","","0.0","","0.0","","0.0","","0.0","","7","","","","",""
"-75.72","45.38","OTTAWA CDA","6105976","2019-01-07","2019","01","07","†","-6.5","","-16.0","","-11.3","","29.3","","0.0","","0.0","","5.0","","6.0","","6","","","","",""
"-75.72","45.38","OTTAWA CDA","6105976","2019-01-08","2019","01","08","†","1.0","","-12.5","","-5.8","","23.8","","0.0","","0.4","","0.0","","0.4","","9","","","","",""
"-75.72","45.38","OTTAWA CDA","6105976","2019-01-09","2019","01","09","†","2.0","","-1.5","","0.3","","17.7","","0.0","","0.0","","3.0","","2.2","","8","","","","",""
"-75.72","45.38","OTTAWA CDA","6105976","2019-01-10","2019","01","10","†","-8.0","","-9.5","","-8.8","","26.8","","0.0","","0.0","","0.0","","0.0","","9","","","","",""
