"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-75.72","45.38","OTTAWA CDA","6105976","2015-01-01","2015","01","01","†","-2.5","","-7.5","","-5.0","","23.0","","0.0","","0.0","","0.5","","0.0","T","0","","","","",""
"-75.72","45.38","OTTAWA CDA","6105976","2015-01-02","2015","01","02","†","-7.3","","-10.7","","-9.0","","27.0","","0.0","","0.0","","0.0","","0.0","","0","T","","","",""
"-75.72","45.38","OTTAWA CDA","6105976","2015-01-03","2015","01","03","†","-3.5","","-14.0","","-8.8","","26.8","","0.0","","9.5","","15.0","","21.7","","0","","","","",""
"-75.72","45.38","OTTAWA CDA","6105976","2015-01-04","2015","01","04","†","-0.2","","-13.0","","-6.6","","24.6","","0.0","","1.0","","0.6","","1.2","","10","","","","",""
"-75.72","45.38","OTTAWA CDA","6105976","2015-01-05","2015","01","05","†","-16.0","","-18.0","","-17.0","","35.0","","0.0","","0.0","","0.0","","0.0","","8","","","","",""
"-75.72","45.38","OTTAWA CDA","6105976","2015-01-06","2015","01","06","†","-9.5","","-21.4","","-15.5","","33.5","","0.0","","0.0","","3.0","","2.7","","7","","","","",""
"-75.72","45.38","OTTAWA CDA","6105976","2015-01-07","2015","01","07","†","-17.7","","-22.0","","-19.9","","37.9","","0.0","","0.0","","0.3","","0.2","","6","","","","",""
"-75.72","45.38","OTTAWA CDA","6105976","2015-01-08","2015","01","08","†","-8.5","","-28.0","","-18.3","","36.3","","0.0","","0.0","","5.0","","3.2","","6","","","","",""
"-75.72","45.38","OTTAWA CDA","6105976","2015-01-09","2015","01","09","†","-6.1","","-18.2","","-12.2","","30.2","","0.0","","0.0","","0.6","","0.2","","8","","","","",""
"-75.72","45.38","OTTAWA CDA","6105976","2015-01-10","2015","01","10","†","-9.0","","-18.0","","-13.5","","31.5","","0.0","","0.0","","0.0","","0.0","","7","","","","",""
"-75.72","45.38","OTTAWA CDA","6105976","2015-01-11","2015","01","11","†","-3.0","","-14.0","","-8.5","","26.5","","0.0","","0.0","","3.0","","2.8","","7","","","","",""
"-75.72","45.38","OTTAWA CDA","6105976","2015-01-12","2015","01","12","†","-2.0","","-6.0","","-4.0","","22.0","","0.0","","0.0","","0.5","","0.5","","8","","","","",""
"-75.72","45.38","OTTAWA CDA","6105976","2015-01-13","2015","01","13","†","-16.4","","-24.0","","-20.2","","38.2","","0.0","","0.0","","0.0","","0.0","","7","","","","",""
"-75.72","45.38","OTTAWA CDA","6105976","2015-01-14","2015","01","14","†","-11.8","","-26.2","","-19.0","","37.0","","0.0","","0.0","","0.0","","0.0","","7","","","","",""
"-75.72","45.38","OTTAWA CDA","6105976","2015-01-15","2015","01","15","†","-2.5","","-22.9","","-12.7","","30.7","","0.0","","0.0","","1.6","","1.3","","7","","","","",""
