Date,Text
Wed Jul 11 14:25:26 +0000 2012,OSTA is on Twitter! Our offices are open during the summer (Mon. - Fri. 8am-4pm) for any changes in your child's information
Fri Jul 13 14:00:17 +0000 2012,Check out our website for updates on our updated policies and procedures regarding walking distances for students in the OCDSB
Tue Jul 31 13:18:51 +0000 2012,Please be sure to review the school bus safety rules with your child(ren). Our brochure can be found on our website under School Bus Safety.
Tue Jul 31 13:24:01 +0000 2012,"Just a reminder that School Bus Safety Awareness day is on Sunday, August 26, 2012. More information can be found on our website."
Tue Aug 07 14:34:53 +0000 2012,"Please note that school bus route information for your child(ren) will be available on the OSTA website AFTER August 15, 2012."
Tue Aug 07 15:29:31 +0000 2012,@OC_Transpo has delayed the implementation of Presto until further notice. information about OC Transpo passes can be found on our website.
Tue Aug 28 13:11:24 +0000 2012,Thank you to all those who participated and volunteered at our 20th annual  School Bus Safety Awareness Day. It was a huge success!
Tue Aug 28 13:12:59 +0000 2012,Office Admin are back in school! OSTA will NO LONGER be making address changes. Please contact your school directly with any new information
Mon Sep 10 19:44:58 +0000 2012,Welcome back to another school year! School buses are on the road again. Thank you for your patience during this busy time.
Thu Sep 20 12:53:55 +0000 2012,Due to a gas leak on Moodie Dr. some First Student Routes (starting with H &amp; C) may experience delays as buses are stuck at the bus yard.
Thu Sep 20 12:56:16 +0000 2012,Some Stock routes (starting with S) may also experience delays. Be advised that parents may need to drive their child to school this morning
Fri Sep 21 14:14:26 +0000 2012,"Wait for the bus at a safe place away from the road. In less than clear weather conditions, it is easier for the driver to see you."
Mon Sep 24 16:23:31 +0000 2012,"Fall has arrived. Make sure your child is dressed for the weather, so they are warm while waiting for the school bus."
Tue Sep 25 13:38:43 +0000 2012,KG ID bands have been distributed to all schools. The bright yellow bands help identify KG students riding the bus. Look out for them!
Thu Sep 27 14:06:07 +0000 2012,"Parents and/ or guardians are urged to meet their child at the bus stops each day, so they aren't left unattended. Student safety first."
Fri Sep 28 13:20:52 +0000 2012,OSTA will start reviewing stop change requests as of October 1st. See details at: http://t.co/OR1C9F8S. We appreciate your patience.
Tue Oct 02 16:05:34 +0000 2012,"In dealing with safety &amp; disciplinary issues, a school bus is considered an extension of the classroom; under the authority of the principal"
Wed Oct 03 13:47:23 +0000 2012,"Don't forget there is a PA Day for elementary and secondary schools this Friday, October 5th &amp; Thanksgiving is on Monday! #ottschools"
Wed Oct 03 13:55:56 +0000 2012,The OSTA Board of Director's Meeting Minutes and Agenda for 2012-2013 school year are now available on our website at: http://t.co/QlZjJlEJ
Wed Oct 03 19:48:15 +0000 2012,@ja_cates @CBCOttawa: OSTA is currently conducting an investigation. Driver has been replaced on the run in the meantime. Please be advised.
Thu Oct 04 15:07:02 +0000 2012,"By law, traffic in BOTH directions MUST stop any time a school bus is stopped with the overhead red lights flashing &amp; stop arm activated."
Thu Oct 04 15:09:56 +0000 2012,"It's a $2,000 fine for breaking this law. Motorists may proceed when the school bus resumes motion &amp; the red lights have stopped flashing"
Wed Oct 10 13:38:04 +0000 2012,It is important all parents and students recognize that the 3-metre perimeter around the bus is considered the danger zone. #safetyfirst
Thu Oct 11 13:44:32 +0000 2012,Poor road conditions due to inclement weather force the cancellation of our transportation services; cancellations apply to the whole day.
Thu Oct 18 16:39:11 +0000 2012,One element of OSTA's school bus safety program is the important role parents share in reinforcing school bus safety.
Thu Oct 18 16:39:43 +0000 2012,Please take the time to review safety procedure with your child several times throughout the school year. #safetyfirst
Fri Oct 19 19:16:31 +0000 2012,"Our strategic plan for safe, efficient and effective transportation is available on our website. Check it out at: http://t.co/JdAy6qqQ"
Tue Oct 23 14:30:00 +0000 2012,What zone is your child's school in? You can find a breakdown of our schools listed in each zone on our website at http://t.co/7m77WcuW
Thu Oct 25 14:23:37 +0000 2012,Did your child forget something on the bus? Call the operator directly for lost and found. Find our operator's list at http://t.co/yjGTLs7r
Wed Oct 31 13:49:31 +0000 2012,"Happy Halloween! If your child is in costume today, make sure to check for anything that could get caught on the bus. #safetyfirst"
Wed Oct 31 14:05:12 +0000 2012,Watch out for excited children if you are driving through a school zones today #halloween
Wed Nov 07 17:54:53 +0000 2012,"@salsababy16: the principal is authorized to discipline a student and/or withhold transportation services, under Board policies. Be advised"
Tue Nov 13 19:24:39 +0000 2012,@salsababy16: OSTA has its own set of policies and procedures. You can find them here: http://t.co/Hdw1ljbe
Tue Nov 13 19:27:50 +0000 2012,"Parents should monitor weather conditions; in case of a bus cancellation, plan an alternative arrangement for your child for the day."
Fri Nov 16 14:22:11 +0000 2012,Happy Friday! No buses on the road today due to a PD Day for both the OCSB &amp; OCDSB. Enjoy your extended weekend!
Mon Nov 19 16:49:26 +0000 2012,*NEW* Financial Statement year ended Aug. 31/12 is now available for viewing on our website: http://t.co/5EZ6B5LG
Wed Nov 21 14:53:54 +0000 2012,Help bring some holiday cheer with OSTA by collecting toys for our Toy Mountain - see more detail here: http://t.co/Rd0pQjAZ
Thu Nov 22 14:46:50 +0000 2012,Check our website for school bus delays or cancellations. Our traffic light indicator is a helpful tool for parents and/or guardians.
Mon Nov 26 14:26:02 +0000 2012,Winter is around the corner. Be prepared for delays in transportation services and make sure your child is dressed for the weather. #ottbus
Thu Nov 29 18:18:37 +0000 2012,"Due to an emergency evacuation at Devonshire PS, students will be picked up at Hintonburg C.C. at their regular time."
Thu Nov 29 18:19:14 +0000 2012,The school is attempting to contact all parents to alert them to this change
Wed Dec 05 21:01:21 +0000 2012,@majic100Ottawa @ctvottawa OSTA's At-Work Santa has been working hard to collect toys for Toy Mountain.
Mon Dec 10 10:39:11 +0000 2012,All small and large buses are cancelled for OCDSB and OCSB today Monday Dec 10 2012.
Tue Dec 11 15:59:16 +0000 2012,ALL transportation for OCDSB elementary students grades JK to 8 will be suspended Wed. Dec. 12/12 due to strike action at various schools
Tue Dec 11 16:00:42 +0000 2012,Transportation for OCDSB and OCSB secondary students and OCSB elementary students will continue as scheduled.
Tue Dec 11 16:02:07 +0000 2012,"ALL Transportation services will resume on Thurs. Dec. 13/12.

Please remember to check our website at http://t.co/JdAy6qqQ for info."
Tue Dec 11 16:05:57 +0000 2012,"All #OCSB schools will operate as usual this Wed, Dec 12. Labour disruptions mentioned in the media do not affect our schools."
Tue Dec 11 16:06:12 +0000 2012,#OCDSB Elementary Schools &amp; Extended Day Programs will be closed tomorrow (Wed. Dec. 12). Find out more @ http://t.co/HCAi5gRZ #ottschools
Mon Dec 17 10:35:07 +0000 2012,ALL school bus and small vehicle transportation for OCSB and OCDSB is cancelled today Monday Dec 17 2012.
