Max Temp (°C),Min Temp (°C),Mean Temp (°C),Heat Deg Days (°C),Cool Deg Days (°C),Total Rain (mm),Total Snow (cm),Total Precip (mm),Snow on Grnd (cm),Snowday?
30.3,10.6,20.5,0,2.5,0,0,0,0,0
33.2,16.8,25,0,7,0,0,0,0,0
34.5,18.1,26.3,0,8.3,0,0,0,0,0
32.1,20.9,26.5,0,8.5,0.5,0,0.5,0,0
33.6,21.9,27.8,0,9.8,0,0,0,0,0
26.9,18.3,22.6,0,4.6,0,0,0,0,0
24.5,12,18.3,0,0.3,0,0,0,0,0
26.7,12.5,19.6,0,1.6,0,0,0,0,0
33.3,19.5,26.4,0,8.4,11,0,11,0,0
25.1,19.1,22.1,0,4.1,0,0,0,0,0
27.5,14.9,21.2,0,3.2,0,0,0,0,0
21.3,17.8,19.6,0,1.6,0,0,0,0,0
28.2,17.2,22.7,0,4.7,0,0,0,0,0
32.3,14.9,23.6,0,5.6,0,0,0,0,0
33.4,14.5,24,0,6,3.9,0,3.9,0,0
29.2,17.6,23.4,0,5.4,0,0,0,0,0
32,15.2,23.6,0,5.6,0,0,0,0,0
29.6,20.1,24.9,0,6.9,0,0,0,0,0
26.5,16.3,21.4,0,3.4,0,0,0,0,0
29.6,13.2,21.4,0,3.4,9.3,0,9.3,0,0
28.5,14.2,21.4,0,3.4,4.6,0,4.6,0,0
22.2,18.3,20.3,0,2.3,9.9,0,9.9,0,0
21.7,17,19.4,0,1.4,11.4,0,11.4,0,0
26.7,17.6,22.2,0,4.2,0,0,0,0,0
24.7,18.3,21.5,0,3.5,6,0,6,0,0
26.5,16.2,21.4,0,3.4,0,0,0,0,0
27.9,15,21.5,0,3.5,0.2,0,0.2,0,0
26.3,19.1,22.7,0,4.7,1,0,1,0,0
23.4,9.7,16.6,1.4,0,0,0,0,0,0
24,11.9,18,0,0,0.2,0,0.2,0,0
27,12,19.5,0,1.5,0.2,0,0.2,0,0
27.5,14.4,21,0,3,0,0,0,0,0
29.4,16.1,22.8,0,4.8,0,0,0,0,0
24.9,19.2,22.1,0,4.1,8.6,0,8.6,0,0
22.8,18.8,20.8,0,2.8,0,0,0,0,0
24.5,8.1,16.3,1.7,0,0,0,0,0,0
31.1,11.1,21.1,0,3.1,0,0,0,0,0
27.6,18.4,23,0,5,2.4,0,2.4,0,0
26,19.9,23,0,5,13.8,0,13.8,0,0
27.5,16.4,22,0,4,2.1,0,2.1,0,0
28.1,18.1,23.1,0,5.1,0,0,0,0,0
26,14,20,0,2,13.8,0,13.8,0,0
17.7,8.7,13.2,4.8,0,0,0,0,0,0
22.9,5,14,4,0,0,0,0,0,0
27.1,9.4,18.3,0,0.3,0,0,0,0,0
